ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
104.25,1900581,1699502534,1699502535,3507,4567,104.15,104.25,5,713728,2602012,103.98,103.5,104.45,0,0,104.3,104.85,sf,NSE:UNIONBANK-EQ,-0.6,-0.5722
558.9,34161,1699502532,1699502536,23,76,558.45,558.9,1,46121,110984,557.97,555.2,562.85,0,0,562.85,563.95,sf,NSE:SONACOMS-EQ,-5.05,-0.8955
1493.65,96587,1699502535,1699502536,11,470,1493.8,1494.0,8,150190,202431,1490.05,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.25,0.4878
1959.2,138000,1699502533,1699502536,294,17,1958.1,1958.85,5,62907,70671,1959.48,1947.1,1970.0,0,0,1970.0,1987.2,sf,NSE:SHRIRAMFIN-EQ,-28.0,-1.409
321.35,1397833,1699502535,1699502536,279,119,321.15,321.25,211,722560,843220,319.82,316.8,321.35,0,0,318.45,314.25,sf,NSE:COALINDIA-EQ,7.1,2.2593
1009.0,19120,1699502514,1699502536,1,42,1008.65,1009.0,213,66189,64249,1010.99,1005.85,1016.4,0,0,1012.35,1001.3,sf,NSE:RAMCOCEM-EQ,7.7,0.769
1813.7,264722,1699502535,1699502536,83,5,1812.6,1813.7,3,328514,96928,1803.73,1781.1,1815.45,0,0,1781.85,1764.6,sf,NSE:GODREJPROP-EQ,49.1,2.7825
13.75,19906927,1699502532,1699502536,1019851,1142752,13.75,13.8,1,23492688,41060384,13.8,13.7,13.9,0,0,13.8,13.85,sf,NSE:IDEA-EQ,-0.1,-0.722
315.15,2182946,1699502535,1699502536,351,2402,315.15,315.3,21,786090,805705,313.55,310.8,315.4,0,0,311.0,308.45,sf,NSE:RECLTD-EQ,6.7,2.1722
3142.55,14579,1699502527,1699502536,4,6,3141.95,3143.15,17,45640,41908,3140.69,3130.45,3159.2,0,0,3145.0,3125.4,sf,NSE:ESCORTS-EQ,17.15,0.5487
439.15,267755,1699502528,1699502536,1000,455,439.25,439.45,108,83204,155196,438.19,436.25,439.85,0,0,437.7,433.35,sf,NSE:TATAMTRDVR-EQ,5.8,1.3384
581.25,546900,1699502534,1699502536,647,1,581.25,581.35,2,706484,1330276,580.88,579.3,581.85,0,0,581.0,579.75,sf,NSE:SBIN-EQ,1.5,0.2587
184.45,349580,1699502532,1699502536,9752,90,184.4,184.45,204,747172,831692,184.41,183.75,185.1,0,0,184.2,185.85,sf,NSE:INDUSTOWER-EQ,-1.4,-0.7533
282.0,57686,1699502532,1699502536,90,333,281.95,282.0,136,321908,343870,281.85,281.0,284.0,0,0,284.0,284.1,sf,NSE:CROMPTON-EQ,-2.1,-0.7392
236.85,519400,1699502531,1699502536,1551,1927,236.8,236.9,1,623136,1783326,237.39,236.65,238.3,0,0,237.0,237.75,sf,NSE:VEDL-EQ,-0.9,-0.3785
1514.2,509547,1699502535,1699502536,5,11,1514.05,1514.2,107,151599,141848,1507.0,1487.4,1518.0,0,0,1487.4,1479.75,sf,NSE:M&M-EQ,34.45,2.3281
1616.9,24864,1699502523,1699502536,14,4,1617.0,1617.95,1,13642,40619,1618.81,1609.9,1634.4,0,0,1633.4,1653.15,sf,NSE:GLAND-EQ,-36.25,-2.1928
1143.5,55833,1699502534,1699502536,32,109,1143.55,1144.25,1,124797,100714,1140.36,1135.25,1149.9,0,0,1148.4,1142.4,sf,NSE:CHOLAFIN-EQ,1.1,0.0963
272.9,6540493,1699502536,1699502536,298,6660,272.9,272.95,7,1160910,1074523,270.13,265.45,272.95,0,0,267.0,263.05,sf,NSE:PFC-EQ,9.85,3.7445
392.75,794309,1699502534,1699502536,1124,8,392.75,392.85,12,311680,1110149,393.17,390.55,395.85,0,0,395.1,383.8,sf,NSE:ADANIPOWER-EQ,8.95,2.3319
270.4,254595,1699502522,1699502536,137,15,270.3,270.45,25,414002,350163,268.83,266.0,270.7,0,0,267.05,263.95,sf,NSE:M&MFIN-EQ,6.45,2.4436
1051.05,27370,1699502531,1699502536,256,34,1051.0,1051.45,1,24341,106831,1056.8,1051.05,1062.95,0,0,1060.0,1047.0,sf,NSE:BDL-EQ,4.05,0.3868
1494.0,96635,1699502536,1699502536,6,498,1493.65,1494.0,29,149884,202374,1490.05,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.6,0.5113
193.3,1279705,1699502536,1699502536,478,781,193.25,193.3,83,1387415,2158970,193.09,192.65,193.5,0,0,193.3,191.25,sf,NSE:BANKBARODA-EQ,2.05,1.0719
104.95,1223005,1699502536,1699502536,3606,1599,104.9,104.95,20,580275,1888260,104.57,103.9,105.1,0,0,104.3,103.2,sf,NSE:BANKINDIA-EQ,1.75,1.6957
321.4,1400545,1699502536,1699502536,261,319,321.25,321.4,8,724836,838800,319.83,316.8,321.4,0,0,318.45,314.25,sf,NSE:COALINDIA-EQ,7.15,2.2753
1008.4,19120,1699502514,1699502536,1,42,1008.65,1009.0,9,66189,64249,1010.99,1005.85,1016.4,0,0,1012.35,1001.3,sf,NSE:RAMCOCEM-EQ,7.1,0.7091
218.5,271400,1699502533,1699502536,1736,6058,218.4,218.5,13,791121,766113,218.0,217.5,218.75,0,0,218.05,216.1,sf,NSE:BANDHANBNK-EQ,2.4,1.1106
1813.7,264722,1699502535,1699502536,56,3,1812.7,1813.7,3,328858,97306,1803.73,1781.1,1815.45,0,0,1781.85,1764.6,sf,NSE:GODREJPROP-EQ,49.1,2.7825
439.2,269480,1699502536,1699502536,501,36,439.1,439.2,75,81733,159986,438.2,436.25,439.85,0,0,437.7,433.35,sf,NSE:TATAMTRDVR-EQ,5.85,1.3499
581.3,547277,1699502536,1699502536,124,416,581.3,581.45,10,703737,1330068,580.88,579.3,581.85,0,0,581.0,579.75,sf,NSE:SBIN-EQ,1.55,0.2674
1723.0,16328,1699502532,1699502536,20,120,1722.6,1723.0,7,85429,93174,1718.15,1711.2,1724.45,0,0,1716.9,1709.0,sf,NSE:TATACOMM-EQ,14.0,0.8192
556.9,94664,1699502532,1699502536,308,6,556.75,556.9,5,280643,282983,556.37,554.5,557.8,0,0,555.7,552.0,sf,NSE:UPL-EQ,4.9,0.8877
270.4,254720,1699502536,1699502536,37,225,270.3,270.4,25,413354,350223,268.83,266.0,270.7,0,0,267.05,263.95,sf,NSE:M&MFIN-EQ,6.45,2.4436
388.5,208473,1699502528,1699502536,31,51,388.2,388.35,70,105558,368736,388.28,386.5,389.4,0,0,386.6,386.2,sf,NSE:JSWENERGY-EQ,2.3,0.5955
558.5,34161,1699502532,1699502537,23,76,558.45,558.9,20,46121,110984,557.97,555.2,562.85,0,0,562.85,563.95,sf,NSE:SONACOMS-EQ,-5.45,-0.9664
1494.0,96635,1699502536,1699502537,6,498,1493.65,1494.0,29,149884,202374,1490.05,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.6,0.5113
1959.2,138000,1699502533,1699502537,294,5,1958.1,1958.85,5,62898,70716,1959.48,1947.1,1970.0,0,0,1970.0,1987.2,sf,NSE:SHRIRAMFIN-EQ,-28.0,-1.409
104.95,1223005,1699502536,1699502537,3606,1599,104.9,104.95,7,580275,1888260,104.57,103.9,105.1,0,0,104.3,103.2,sf,NSE:BANKINDIA-EQ,1.75,1.6957
321.25,1400545,1699502536,1699502537,261,319,321.25,321.4,75,724836,838800,319.83,316.8,321.4,0,0,318.45,314.25,sf,NSE:COALINDIA-EQ,7.0,2.2275
540.3,62717,1699502531,1699502537,1,40,540.05,540.25,10,43069,51320,541.17,538.75,544.2,0,0,544.2,542.7,sf,NSE:ATGL-EQ,-2.4,-0.4422
1813.5,264793,1699502536,1699502537,9,2,1813.5,1813.8,1,329303,97420,1803.73,1781.1,1815.45,0,0,1781.85,1764.6,sf,NSE:GODREJPROP-EQ,48.9,2.7712
13.75,19906927,1699502532,1699502537,1019851,1142752,13.75,13.8,1,23492688,41060384,13.8,13.7,13.9,0,0,13.8,13.85,sf,NSE:IDEA-EQ,-0.1,-0.722
315.15,2187336,1699502536,1699502537,151,2000,315.15,315.2,779,781587,812388,313.56,310.8,315.4,0,0,311.0,308.45,sf,NSE:RECLTD-EQ,6.7,2.1722
3142.55,14579,1699502527,1699502537,4,6,3141.95,3143.15,17,45652,41867,3140.69,3130.45,3159.2,0,0,3145.0,3125.4,sf,NSE:ESCORTS-EQ,17.15,0.5487
439.25,269480,1699502536,1699502537,501,36,439.1,439.2,50,81733,159986,438.2,436.25,439.85,0,0,437.7,433.35,sf,NSE:TATAMTRDVR-EQ,5.9,1.3615
581.3,547277,1699502536,1699502537,124,416,581.3,581.45,10,703737,1330068,580.88,579.3,581.85,0,0,581.0,579.75,sf,NSE:SBIN-EQ,1.55,0.2674
282.0,57686,1699502532,1699502537,90,333,281.95,282.0,20,321908,343870,281.85,281.0,284.0,0,0,284.0,284.1,sf,NSE:CROMPTON-EQ,-2.1,-0.7392
236.85,519400,1699502531,1699502537,1551,1927,236.8,236.9,5,623136,1783326,237.39,236.65,238.3,0,0,237.0,237.75,sf,NSE:VEDL-EQ,-0.9,-0.3785
1514.2,509818,1699502537,1699502537,30,353,1513.45,1514.2,2,152037,141615,1507.0,1487.4,1518.0,0,0,1487.4,1479.75,sf,NSE:M&M-EQ,34.45,2.3281
272.9,6546898,1699502537,1699502537,3648,5868,272.9,272.95,121,1159288,1078174,270.14,265.45,272.95,0,0,267.0,263.05,sf,NSE:PFC-EQ,9.85,3.7445
557.0,94664,1699502532,1699502537,308,6,556.75,556.9,4,280643,282983,556.37,554.5,557.8,0,0,555.7,552.0,sf,NSE:UPL-EQ,5.0,0.9058
392.95,794309,1699502534,1699502537,1124,8,392.75,392.85,1,311680,1110149,393.17,390.55,395.85,0,0,395.1,383.8,sf,NSE:ADANIPOWER-EQ,9.15,2.3841
2140.5,16355,1699502526,1699502537,230,5,2140.25,2141.2,26,39720,46069,2140.82,2136.75,2149.0,0,0,2137.65,2116.8,sf,NSE:COLPAL-EQ,23.7,1.1196
104.15,1900581,1699502534,1699502537,3507,4567,104.15,104.25,80,713728,2602012,103.98,103.5,104.45,0,0,104.3,104.85,sf,NSE:UNIONBANK-EQ,-0.7,-0.6676
124.25,373790,1699502533,1699502537,526,345,124.25,124.3,24,1206238,1847791,124.48,124.15,125.0,0,0,125.0,125.05,sf,NSE:GAIL-EQ,-0.8,-0.6397
1493.5,96685,1699502537,1699502537,51,499,1493.4,1494.0,15,149724,202688,1490.05,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.1,0.4777
1958.1,138005,1699502537,1699502537,335,26,1958.1,1958.8,5,63007,70281,1959.48,1947.1,1970.0,0,0,1970.0,1987.2,sf,NSE:SHRIRAMFIN-EQ,-29.1,-1.4644
321.4,1401070,1699502537,1699502537,567,591,321.2,321.4,24,723276,840173,319.83,316.8,321.4,0,0,318.45,314.25,sf,NSE:COALINDIA-EQ,7.15,2.2753
1008.4,19850,1699502536,1699502537,1,1,1008.1,1008.6,9,65364,64564,1010.91,1005.85,1016.4,0,0,1012.35,1001.3,sf,NSE:RAMCOCEM-EQ,7.1,0.7091
1338.75,47920,1699502537,1699502537,7,120,1338.55,1338.75,12,102110,80260,1339.6,1335.45,1346.95,0,0,1345.1,1340.85,sf,NSE:SBILIFE-EQ,-2.1,-0.1566
581.3,547277,1699502536,1699502537,124,400,581.3,581.4,10,706744,1328233,580.88,579.3,581.85,0,0,581.0,579.75,sf,NSE:SBIN-EQ,1.55,0.2674
558.9,34161,1699502532,1699502538,23,76,558.45,558.9,10,46121,110984,557.97,555.2,562.85,0,0,562.85,563.95,sf,NSE:SONACOMS-EQ,-5.05,-0.8955
1493.5,96685,1699502537,1699502538,51,499,1493.4,1494.0,15,149724,202688,1490.05,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.1,0.4777
1958.1,138005,1699502537,1699502538,335,26,1958.1,1958.8,20,63007,70281,1959.48,1947.1,1970.0,0,0,1970.0,1987.2,sf,NSE:SHRIRAMFIN-EQ,-29.1,-1.4644
193.3,1279705,1699502536,1699502538,478,781,193.25,193.3,175,1387415,2158970,193.09,192.65,193.5,0,0,193.3,191.25,sf,NSE:BANKBARODA-EQ,2.05,1.0719
104.9,1223005,1699502536,1699502538,3606,1599,104.9,104.95,237,580275,1888260,104.57,103.9,105.1,0,0,104.3,103.2,sf,NSE:BANKINDIA-EQ,1.7,1.6473
321.4,1401070,1699502537,1699502538,567,591,321.2,321.4,2,723276,840173,319.83,316.8,321.4,0,0,318.45,314.25,sf,NSE:COALINDIA-EQ,7.15,2.2753
1813.95,264801,1699502538,1699502538,4,63,1813.5,1813.95,1,329303,97346,1803.73,1781.1,1815.45,0,0,1781.85,1764.6,sf,NSE:GODREJPROP-EQ,49.35,2.7967
13.8,19906927,1699502532,1699502538,1019851,1142752,13.75,13.8,150,23492688,41060384,13.8,13.7,13.9,0,0,13.8,13.85,sf,NSE:IDEA-EQ,-0.05,-0.361
315.2,2193082,1699502538,1699502538,2510,1501,315.0,315.2,200,774562,818067,313.56,310.8,315.4,0,0,311.0,308.45,sf,NSE:RECLTD-EQ,6.75,2.1884
3142.55,14579,1699502527,1699502538,4,6,3141.95,3143.15,17,45640,42020,3140.69,3130.45,3159.2,0,0,3145.0,3125.4,sf,NSE:ESCORTS-EQ,17.15,0.5487
581.35,547277,1699502536,1699502538,124,400,581.3,581.4,19,706744,1328233,580.88,579.3,581.85,0,0,581.0,579.75,sf,NSE:SBIN-EQ,1.6,0.276
1514.2,509852,1699502538,1699502538,76,69,1513.45,1514.2,2,151877,141606,1507.01,1487.4,1518.0,0,0,1487.4,1479.75,sf,NSE:M&M-EQ,34.45,2.3281
272.95,6547700,1699502538,1699502538,3673,5092,272.9,272.95,5,1161960,1078957,270.14,265.45,272.95,0,0,267.0,263.05,sf,NSE:PFC-EQ,9.9,3.7635
557.0,94664,1699502532,1699502538,308,6,556.75,556.9,2,280643,282983,556.37,554.5,557.8,0,0,555.7,552.0,sf,NSE:UPL-EQ,5.0,0.9058
392.75,794309,1699502534,1699502538,1124,8,392.75,392.85,50,311680,1110149,393.17,390.55,395.85,0,0,395.1,383.8,sf,NSE:ADANIPOWER-EQ,8.95,2.3319
2140.5,16355,1699502526,1699502538,230,5,2140.25,2141.2,26,39627,46069,2140.82,2136.75,2149.0,0,0,2137.65,2116.8,sf,NSE:COLPAL-EQ,23.7,1.1196
414.05,68857,1699502524,1699502538,33,47,414.0,414.15,88,222099,229884,414.26,412.4,418.85,0,0,418.85,417.55,sf,NSE:GUJGASLTD-EQ,-3.5,-0.8382
388.5,210110,1699502536,1699502538,121,1,388.35,388.6,70,108322,367318,388.28,386.5,389.4,0,0,386.6,386.2,sf,NSE:JSWENERGY-EQ,2.3,0.5955
1493.5,96685,1699502537,1699502538,2,501,1493.7,1494.0,15,149736,202883,1490.05,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.1,0.4777
1958.1,138030,1699502538,1699502538,315,63,1958.1,1958.8,20,63183,69469,1959.48,1947.1,1970.0,0,0,1970.0,1987.2,sf,NSE:SHRIRAMFIN-EQ,-29.1,-1.4644
2342.9,8612,1699502531,1699502538,1,81,2342.0,2343.05,18,47351,66463,2347.19,2341.4,2356.5,0,0,2356.15,2341.2,sf,NSE:SRF-EQ,1.7,0.0726
1008.4,19850,1699502536,1699502538,1,1,1008.1,1008.6,9,65339,64564,1010.91,1005.85,1016.4,0,0,1012.35,1001.3,sf,NSE:RAMCOCEM-EQ,7.1,0.7091
581.4,547348,1699502538,1699502538,81,350,581.35,581.4,50,706423,1330578,580.88,579.3,581.85,0,0,581.0,579.75,sf,NSE:SBIN-EQ,1.65,0.2846
282.0,57842,1699502536,1699502538,284,177,281.9,282.0,20,323616,345238,281.85,281.0,284.0,0,0,284.0,284.1,sf,NSE:CROMPTON-EQ,-2.1,-0.7392
236.85,519871,1699502537,1699502538,390,2037,236.85,236.9,5,623611,1794718,237.39,236.65,238.3,0,0,237.0,237.75,sf,NSE:VEDL-EQ,-0.9,-0.3785
1575.15,52746,1699502533,1699502538,24,20,1575.15,1575.7,3,105914,136758,1574.2,1569.0,1579.1,0,0,1575.0,1569.8,sf,NSE:BAJAJFINSV-EQ,5.35,0.3408
392.85,794519,1699502538,1699502538,25,14,392.85,392.95,1,312925,1109119,393.17,390.55,395.85,0,0,395.1,383.8,sf,NSE:ADANIPOWER-EQ,9.05,2.358
1494.0,96685,1699502537,1699502539,2,501,1493.7,1494.0,30,149736,202883,1490.05,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.6,0.5113
193.3,1279705,1699502536,1699502539,478,781,193.25,193.3,5,1387415,2158970,193.09,192.65,193.5,0,0,193.3,191.25,sf,NSE:BANKBARODA-EQ,2.05,1.0719
321.25,1402386,1699502538,1699502539,511,514,321.2,321.4,44,723447,841323,319.83,316.8,321.4,0,0,318.45,314.25,sf,NSE:COALINDIA-EQ,7.0,2.2275
218.45,271400,1699502533,1699502539,1736,6058,218.4,218.5,25,791121,766113,218.0,217.5,218.75,0,0,218.05,216.1,sf,NSE:BANDHANBNK-EQ,2.35,1.0875
1813.95,264867,1699502539,1699502539,5,34,1813.8,1813.95,3,329354,97816,1803.73,1781.1,1815.45,0,0,1781.85,1764.6,sf,NSE:GODREJPROP-EQ,49.35,2.7967
13.8,19909110,1699502539,1699502539,1035870,1140759,13.75,13.8,1,23528352,41104288,13.8,13.7,13.9,0,0,13.8,13.85,sf,NSE:IDEA-EQ,-0.05,-0.361
315.05,2195009,1699502539,1699502539,86,323,315.0,315.05,100,774690,826500,313.56,310.8,315.4,0,0,311.0,308.45,sf,NSE:RECLTD-EQ,6.6,2.1397
3142.55,14579,1699502527,1699502539,4,6,3141.95,3143.15,17,45617,41986,3140.69,3130.45,3159.2,0,0,3145.0,3125.4,sf,NSE:ESCORTS-EQ,17.15,0.5487
1338.75,47920,1699502537,1699502539,7,120,1338.55,1338.75,42,102110,80260,1339.6,1335.45,1346.95,0,0,1345.1,1340.85,sf,NSE:SBILIFE-EQ,-2.1,-0.1566
439.15,269480,1699502536,1699502539,501,36,439.1,439.2,121,81733,159986,438.2,436.25,439.85,0,0,437.7,433.35,sf,NSE:TATAMTRDVR-EQ,5.8,1.3384
581.4,547348,1699502538,1699502539,81,350,581.35,581.4,2,706423,1330578,580.88,579.3,581.85,0,0,581.0,579.75,sf,NSE:SBIN-EQ,1.65,0.2846
236.9,519871,1699502537,1699502539,390,2037,236.85,236.9,2,623611,1794718,237.39,236.65,238.3,0,0,237.0,237.75,sf,NSE:VEDL-EQ,-0.85,-0.3575
1513.8,510064,1699502538,1699502539,160,38,1513.15,1513.8,2,151561,142276,1507.01,1487.4,1518.0,0,0,1487.4,1479.75,sf,NSE:M&M-EQ,34.05,2.3011
272.9,6552166,1699502539,1699502539,100,9701,272.85,272.95,50,1160801,1084399,270.14,265.45,272.95,0,0,267.0,263.05,sf,NSE:PFC-EQ,9.85,3.7445
