ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
1926.8,9826,1699588464,1699588483,8,36,1926.8,1927.55,1,62751,70328,1925.42,1921.2,1934.05,0,0,1930.05,1921.55,sf,NSE:GRASIM-EQ,5.25,0.2732
1233.0,51544,1699588482,1699588484,20,5,1232.55,1233.0,34,117066,119233,1232.95,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,16.55,1.3605
1926.8,9834,1699588483,1699588484,1,48,1926.6,1927.35,1,62233,70471,1925.42,1921.2,1934.05,0,0,1930.05,1921.55,sf,NSE:GRASIM-EQ,5.25,0.2732
1233.0,51544,1699588482,1699588485,4,7,1232.55,1232.95,34,117039,119245,1232.95,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,16.55,1.3605
481.65,151949,1699588484,1699588485,47,151,482.25,482.4,151,259151,314397,482.11,480.3,483.45,0,0,482.05,484.55,sf,NSE:HINDALCO-EQ,-2.9,-0.5985
2071.0,361429,1699588485,1699588486,64,53,2071.1,2072.0,453,68589,168244,2061.71,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,53.85,2.6696
121.9,5692909,1699588484,1699588486,12176,19714,121.95,122.0,10,1565889,4642824,122.33,121.75,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.6,0.4946
1357.15,5576,1699588480,1699588487,1,17,1357.2,1358.0,6,61370,61489,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1357.15,5583,1699588487,1699588487,8,31,1357.15,1358.0,6,61347,62070,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1357.15,5583,1699588487,1699588488,8,72,1357.15,1358.0,6,61443,61603,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
481.9,170271,1699588487,1699588488,112,41,481.65,481.9,5,244452,314731,482.1,480.3,483.45,0,0,482.05,484.55,sf,NSE:HINDALCO-EQ,-2.65,-0.5469
1357.15,5583,1699588487,1699588489,8,72,1357.15,1358.0,6,61428,62162,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1926.8,9834,1699588483,1699588489,1,5,1926.6,1926.8,1,62287,70682,1925.42,1921.2,1934.05,0,0,1930.05,1921.55,sf,NSE:GRASIM-EQ,5.25,0.2732
1357.15,5583,1699588487,1699588490,9,54,1357.15,1358.0,6,61579,61990,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1010.35,139213,1699588488,1699588490,1,35,1010.15,1010.25,50,64622,108455,1007.59,993.7,1014.25,0,0,1003.8,991.2,sf,NSE:VBL-EQ,19.15,1.932
2072.0,368028,1699588490,1699588491,60,5,2071.85,2072.8,10,69104,168191,2061.89,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,54.85,2.7192
122.0,5720895,1699588491,1699588491,559,35199,121.95,122.0,5,1564574,4659968,122.33,121.75,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.7,0.5771
1357.15,5589,1699588491,1699588492,3,54,1357.15,1358.0,6,61569,61551,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2072.8,368484,1699588492,1699588492,2,35,2072.15,2072.8,1,69312,169624,2061.9,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,55.65,2.7588
1232.55,51556,1699588492,1699588493,6,7,1232.55,1232.95,8,116884,119572,1232.95,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,16.1,1.3235
1483.3,517716,1699588493,1699588493,136,378,1483.15,1483.45,1,389438,438783,1482.23,1480.05,1485.0,0,0,1480.1,1487.25,sf,NSE:HDFCBANK-EQ,-3.95,-0.2656
1357.15,5589,1699588491,1699588494,42,54,1357.15,1358.0,6,61332,61373,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1926.8,9834,1699588483,1699588494,1,5,1926.6,1926.8,1,62267,70347,1925.42,1921.2,1934.05,0,0,1930.05,1921.55,sf,NSE:GRASIM-EQ,5.25,0.2732
1357.15,5589,1699588491,1699588495,305,23,1357.25,1358.0,6,61966,61550,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
122.0,5720895,1699588491,1699588495,559,35199,121.95,122.0,70,1564574,4659968,122.33,121.75,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.7,0.5771
1357.15,5589,1699588491,1699588496,305,18,1357.25,1357.95,6,61531,61158,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1926.8,9836,1699588495,1699588496,1,3,1926.6,1926.8,2,62197,70576,1925.42,1921.2,1934.05,0,0,1930.05,1921.55,sf,NSE:GRASIM-EQ,5.25,0.2732
2072.0,369612,1699588496,1699588497,10,63,2072.1,2072.95,10,69160,170347,2061.94,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,54.85,2.7192
482.0,170360,1699588494,1699588497,47,461,481.75,482.0,6,246866,315747,482.1,480.3,483.45,0,0,482.05,484.55,sf,NSE:HINDALCO-EQ,-2.55,-0.5263
1357.15,5589,1699588491,1699588498,62,18,1357.3,1358.35,6,62092,61483,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1233.15,51746,1699588496,1699588498,12,71,1233.05,1233.45,3,117246,119069,1232.95,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,16.7,1.3728
193.4,729080,1699588498,1699588499,1246,784,193.3,193.4,10,1185297,1661114,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.15,1.1242
121.95,5737263,1699588499,1699588499,263,39720,121.95,122.0,98,1578009,4674116,122.33,121.75,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.65,0.5359
1483.45,518145,1699588498,1699588499,129,393,1483.3,1483.45,7,389441,440406,1482.23,1480.05,1485.0,0,0,1480.1,1487.25,sf,NSE:HDFCBANK-EQ,-3.8,-0.2555
